model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
217524-143-r1,pdmr,pdx,,,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
217524-143-r1-j4-pdc,pdmr,cell line,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
217524-143-r1-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
217524-143-r2,pdmr,pdx,,,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
217524-143-r2-j1-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,38.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
217524-143-r4,pdmr,pdx,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
217524-143-r5,pdmr,pdx,62.0,62.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
217524-143-r5-j2-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,38.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
218243-119-r,pdmr,pdx,64.0,64.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
218898-057-r,pdmr,pdx,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
221948-257-r,pdmr,pdx,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
222454-113-r,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
222671-168-r,pdmr,pdx,,,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
223117-310-r,pdmr,pdx,54.0,54.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
224r,mbdi,pdx,,,,,,,,,,,,,,,,,69.0
224r-cx-organoid,mbdi,organoid,,,,,,,,,,,,,,,,,63.0
224r_cx,mbdi,pdx,,,,,,,,,,,,,,,,,69.0
226611-082-r,pdmr,pdx,56.0,56.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
227169-078-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
227483-062-r1,pdmr,pdx,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
227483-062-r1-j1-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,38.0,38.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
228754-122-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
228754-122-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,38.0,38.0,44.0,44.0,44.0,44.0,44.0,47.0,52.0
233313-265-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
233499-124-r,pdmr,pdx,64.0,64.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
233499-124-r-j2-pdc,pdmr,cell line,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
233499-124-r-v2-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
234829-215-t,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
234829-215-t-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
235635-245-t,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
237351-077-r,pdmr,pdx,54.0,54.0,47.0,47.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0
