model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
sidm00812,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00814,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00815,cmp,cell line,30.0,30.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,31.0,47.0,46.0,46.0,46.0,46.0,46.0,47.0
sidm00816,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00817,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00818,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00819,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00820,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00821,cmp,cell line,28.0,28.0,34.0,34.0,25.0,25.0,25.0,25.0,28.0,26.0,42.0,26.0,26.0,26.0,26.0,26.0,28.0
sidm00822,cmp,cell line,38.0,38.0,38.0,38.0,31.0,31.0,31.0,31.0,31.0,33.0,49.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00823,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,49.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00826,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00827,cmp,cell line,30.0,30.0,33.0,33.0,23.0,23.0,23.0,23.0,23.0,28.0,41.0,50.0,50.0,50.0,50.0,50.0,52.0
sidm00828,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00829,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00831,cmp,cell line,38.0,38.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,33.0,49.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00832,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00833,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00834,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00835,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00836,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00837,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00839,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00840,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,31.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00841,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00842,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,47.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00844,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00845,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00846,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00847,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00848,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00849,cmp,cell line,28.0,28.0,34.0,34.0,22.0,22.0,22.0,22.0,25.0,26.0,42.0,47.0,47.0,47.0,47.0,47.0,49.0
sidm00850,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00851,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,30.0,34.0,47.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00852,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00853,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00854,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00855,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00856,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00857,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00858,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00859,cmp,cell line,34.0,34.0,41.0,41.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00860,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00861,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00862,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00863,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00864,cmp,cell line,33.0,33.0,39.0,39.0,26.0,26.0,26.0,26.0,30.0,31.0,47.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00865,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,34.0,50.0,49.0,49.0,49.0,49.0,49.0,50.0
sidm00866,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00867,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00870,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00872,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00874,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00875,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00877,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00878,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00879,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00881,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00882,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00884,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00885,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00886,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00887,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00888,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00889,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00890,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00891,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,28.0,36.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00892,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00893,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00894,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,30.0,34.0,47.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00895,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00896,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,34.0,50.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00897,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00898,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00899,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00901,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00903,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00904,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,30.0,34.0,47.0,31.0,31.0,31.0,31.0,31.0,33.0
sidm00905,cmp,cell line,34.0,34.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,36.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00906,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,26.0,34.0,47.0,49.0,49.0,49.0,49.0,49.0,50.0
sidm00907,cmp,cell line,31.0,31.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,30.0,46.0,50.0,50.0,50.0,50.0,50.0,52.0
sidm00909,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00910,cmp,cell line,30.0,30.0,39.0,39.0,26.0,26.0,26.0,26.0,30.0,31.0,47.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00911,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,33.0,49.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00912,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,30.0,42.0,38.0,38.0,38.0,38.0,38.0,39.0
sidm00913,cmp,cell line,34.0,34.0,34.0,34.0,25.0,25.0,25.0,25.0,25.0,26.0,39.0,38.0,38.0,38.0,38.0,38.0,39.0
sidm00914,cmp,cell line,31.0,31.0,38.0,38.0,25.0,25.0,25.0,25.0,25.0,30.0,46.0,47.0,47.0,47.0,47.0,47.0,49.0
sidm00915,cmp,cell line,38.0,38.0,38.0,38.0,31.0,31.0,31.0,31.0,34.0,33.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00916,cmp,cell line,34.0,34.0,34.0,34.0,25.0,25.0,25.0,25.0,25.0,26.0,42.0,38.0,38.0,38.0,38.0,38.0,39.0
sidm00917,cmp,cell line,34.0,34.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,33.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00918,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00919,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00920,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00921,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00922,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00923,cmp,cell line,38.0,38.0,38.0,38.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00924,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00925,cmp,cell line,36.0,36.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,31.0,47.0,52.0,52.0,52.0,52.0,52.0,53.0
sidm00926,cmp,cell line,31.0,31.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,30.0,46.0,47.0,47.0,47.0,47.0,47.0,49.0
sidm00927,cmp,cell line,38.0,38.0,38.0,38.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00928,cmp,cell line,31.0,31.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00929,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00930,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00931,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00932,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00933,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00934,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00935,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00936,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00937,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00938,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00939,cmp,cell line,31.0,31.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,30.0,46.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00940,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00941,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00942,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00943,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00944,cmp,cell line,30.0,30.0,39.0,39.0,26.0,26.0,26.0,26.0,30.0,31.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00945,cmp,cell line,33.0,33.0,39.0,39.0,26.0,26.0,26.0,26.0,30.0,31.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00946,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00947,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00948,cmp,cell line,36.0,36.0,36.0,36.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00949,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00950,cmp,cell line,28.0,28.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00951,cmp,cell line,30.0,30.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,28.0,44.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00952,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00953,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,31.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00954,cmp,cell line,36.0,36.0,36.0,36.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00955,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00956,cmp,cell line,34.0,34.0,41.0,41.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00957,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00958,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00959,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00960,cmp,cell line,33.0,33.0,36.0,36.0,23.0,23.0,23.0,23.0,26.0,31.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00961,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,36.0,36.0,36.0,36.0,36.0,38.0
sidm00962,cmp,cell line,33.0,33.0,36.0,36.0,26.0,26.0,26.0,26.0,30.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00963,cmp,cell line,31.0,31.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,53.0,53.0,53.0,53.0,53.0,55.0
sidm00965,cmp,cell line,38.0,38.0,41.0,41.0,34.0,34.0,34.0,34.0,38.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00966,cmp,cell line,,,,,,,,,,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00967,cmp,cell line,,,,,,,,,,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00968,cmp,cell line,,,,,,,,,,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00969,cmp,cell line,,,,,,,,,,26.0,42.0,26.0,26.0,26.0,26.0,26.0,28.0
sidm00970,cmp,cell line,,,,,,,,,,26.0,42.0,26.0,26.0,26.0,26.0,26.0,28.0
sidm00971,cmp,cell line,38.0,38.0,38.0,38.0,31.0,31.0,31.0,31.0,34.0,36.0,52.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00972,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00973,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,33.0,33.0,33.0,33.0,33.0,34.0
sidm00974,cmp,cell line,28.0,28.0,34.0,34.0,22.0,22.0,22.0,22.0,25.0,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00975,cmp,cell line,28.0,28.0,34.0,34.0,22.0,22.0,22.0,22.0,25.0,30.0,46.0,30.0,30.0,30.0,30.0,30.0,31.0
sidm00976,cmp,cell line,31.0,31.0,34.0,34.0,25.0,25.0,25.0,25.0,28.0,33.0,49.0,33.0,33.0,33.0,33.0,33.0,34.0
sidm00977,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,30.0,42.0,26.0,26.0,26.0,26.0,26.0,28.0
sidm00978,cmp,cell line,34.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,30.0,42.0,26.0,26.0,26.0,26.0,26.0,28.0
sidm00979,cmp,cell line,34.0,34.0,38.0,38.0,31.0,31.0,31.0,31.0,31.0,33.0,49.0,39.0,39.0,39.0,39.0,39.0,41.0
sidm00980,cmp,cell line,31.0,31.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,58.0,58.0,58.0,58.0,58.0,60.0
sidm00981,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00982,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00983,cmp,cell line,31.0,31.0,38.0,38.0,25.0,25.0,25.0,25.0,28.0,30.0,46.0,55.0,55.0,55.0,55.0,55.0,57.0
sidm00984,cmp,cell line,36.0,36.0,36.0,36.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00985,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00986,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00987,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00988,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00989,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
sidm00990,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00991,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,47.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00992,cmp,cell line,31.0,31.0,38.0,38.0,28.0,28.0,28.0,28.0,31.0,33.0,49.0,33.0,33.0,33.0,33.0,33.0,34.0
sidm00993,cmp,cell line,36.0,36.0,39.0,39.0,33.0,33.0,33.0,33.0,36.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00994,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,60.0,60.0,60.0,60.0,60.0,61.0
sidm00995,cmp,cell line,31.0,31.0,34.0,34.0,25.0,25.0,25.0,25.0,28.0,33.0,49.0,33.0,33.0,33.0,33.0,33.0,34.0
sidm00996,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,57.0,57.0,57.0,57.0,57.0,58.0
sidm00997,cmp,cell line,33.0,33.0,39.0,39.0,30.0,30.0,30.0,30.0,33.0,34.0,50.0,34.0,34.0,34.0,34.0,34.0,36.0
